INDEX,CARD,CLA1,CLA2,SCA1,SCA2,SCA3,PUR1,PUR2,PUR3,CUL1,CUL2,CUL3,USA1,USA2,USA3,ADD1,ADD2,ADD3,PRICE,Y,Cluster
51,17,0,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,3,5,1
51,18,0,1,0,0,1,1,0,0,0,1,0,0,1,0,1,0,0,1,6,1
52,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,2,2,0
52,2,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,3,8,0
52,3,1,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,1,1,8,0
52,4,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,3,1,0
52,5,0,1,0,1,0,1,0,0,0,0,1,1,0,0,0,1,0,2,1,0
52,6,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,3,1,0
52,7,1,0,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,2,1,0
52,8,0,1,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1,2,8,0
52,9,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,2,1,0
52,10,0,1,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,3,8,0
52,11,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,1,8,0
52,12,1,0,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,3,8,0
52,13,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,1,8,0
52,14,1,0,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0,2,8,0
52,15,0,1,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,1,3,0
52,16,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,1,0
52,17,0,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,3,2,0
52,18,0,1,0,0,1,1,0,0,0,1,0,0,1,0,1,0,0,1,1,0
55,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,2,5,0
55,2,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,3,10,0
55,3,1,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,1,1,6,0
55,4,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,3,6,0
55,5,0,1,0,1,0,1,0,0,0,0,1,1,0,0,0,1,0,2,5,0
55,6,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,3,5,0
55,7,1,0,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,2,4,0
55,8,0,1,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1,2,5,0
55,9,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,2,10,0
55,10,0,1,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,3,6,0
55,11,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,1,4,0
55,12,1,0,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,3,4,0
55,13,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,1,3,0
