INDEX,CARD,BIO1,BIO2,BIO3,SCA1,SCA2,SCA3,KNO1,KNO2,KNO3,USE1,USE2,USE3,MET1,MET2,ANA1,ANA2,PRICE,Y,Cluster
39,8,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,1,10,1
39,9,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,1,1,10,1
39,10,0,0,1,0,1,0,1,0,0,0,1,0,0,1,1,0,1,10,1
39,11,1,0,0,0,1,0,0,1,0,0,0,1,1,0,1,0,1,10,1
39,12,1,0,0,1,0,0,0,0,1,0,1,0,0,1,1,0,2,10,1
39,13,0,1,0,0,1,0,0,0,1,0,0,1,1,0,1,0,3,5,1
39,14,0,0,1,1,0,0,0,1,0,0,1,0,1,0,0,1,3,5,1
39,15,0,0,1,0,1,0,0,1,0,1,0,0,1,0,1,0,2,9,1
39,16,0,1,0,1,0,0,1,0,0,1,0,0,1,0,1,0,3,5,1
39,17,0,0,1,0,0,1,1,0,0,0,0,1,0,1,1,0,3,5,1
39,18,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,1,2,10,1
41,1,1,0,0,0,0,1,0,1,0,0,1,0,1,0,1,0,3,4,0
41,2,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,1,2,6,0
41,3,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,1,1,6,0
41,4,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,1,3,8,0
41,5,0,1,0,0,0,1,0,1,0,1,0,0,0,1,1,0,2,8,0
41,6,0,0,1,1,0,0,0,0,1,0,0,1,1,0,1,0,2,4,0
41,7,0,1,0,0,0,1,0,0,1,0,1,0,1,0,1,0,1,5,0
41,8,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,1,4,0
41,9,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,1,1,8,0
41,10,0,0,1,0,1,0,1,0,0,0,1,0,0,1,1,0,1,5,0
41,11,1,0,0,0,1,0,0,1,0,0,0,1,1,0,1,0,1,3,0
41,12,1,0,0,1,0,0,0,0,1,0,1,0,0,1,1,0,2,3,0
41,13,0,1,0,0,1,0,0,0,1,0,0,1,1,0,1,0,3,5,0
41,14,0,0,1,1,0,0,0,1,0,0,1,0,1,0,0,1,3,5,0
41,15,0,0,1,0,1,0,0,1,0,1,0,0,1,0,1,0,2,3,0
41,16,0,1,0,1,0,0,1,0,0,1,0,0,1,0,1,0,3,4,0
41,17,0,0,1,0,0,1,1,0,0,0,0,1,0,1,1,0,3,6,0
41,18,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,1,2,5,0
42,1,1,0,0,0,0,1,0,1,0,0,1,0,1,0,1,0,3,5,0
42,2,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,1,2,4,0
42,3,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,1,1,5,0
42,4,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,1,3,5,0
42,5,0,1,0,0,0,1,0,1,0,1,0,0,0,1,1,0,2,5,0
42,6,0,0,1,1,0,0,0,0,1,0,0,1,1,0,1,0,2,5,0
42,7,0,1,0,0,0,1,0,0,1,0,1,0,1,0,1,0,1,5,0
42,8,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,1,4,0
42,9,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,1,1,5,0
42,10,0,0,1,0,1,0,1,0,0,0,1,0,0,1,1,0,1,5,0
42,11,1,0,0,0,1,0,0,1,0,0,0,1,1,0,1,0,1,6,0
42,12,1,0,0,1,0,0,0,0,1,0,1,0,0,1,1,0,2,5,0
42,13,0,1,0,0,1,0,0,0,1,0,0,1,1,0,1,0,3,4,0
42,14,0,0,1,1,0,0,0,1,0,0,1,0,1,0,0,1,3,5,0
42,15,0,0,1,0,1,0,0,1,0,1,0,0,1,0,1,0,2,6,0
42,16,0,1,0,1,0,0,1,0,0,1,0,0,1,0,1,0,3,5,0
42,17,0,0,1,0,0,1,1,0,0,0,0,1,0,1,1,0,3,5,0
42,18,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,1,2,6,0
46,1,1,0,0,0,0,1,0,1,0,0,1,0,1,0,1,0,3,0,1
46,2,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,1,2,5,1
46,3,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,1,1,8,1
46,4,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,1,3,0,1
46,5,0,1,0,0,0,1,0,1,0,1,0,0,0,1,1,0,2,5,1
46,6,0,0,1,1,0,0,0,0,1,0,0,1,1,0,1,0,2,8,1
46,7,0,1,0,0,0,1,0,0,1,0,1,0,1,0,1,0,1,8,1
46,8,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,1,8,1
46,9,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,1,1,8,1
46,10,0,0,1,0,1,0,1,0,0,0,1,0,0,1,1,0,1,8,1
46,11,1,0,0,0,1,0,0,1,0,0,0,1,1,0,1,0,1,8,1
46,12,1,0,0,1,0,0,0,0,1,0,1,0,0,1,1,0,2,8,1
46,13,0,1,0,0,1,0,0,0,1,0,0,1,1,0,1,0,3,0,1
46,14,0,0,1,1,0,0,0,1,0,0,1,0,1,0,0,1,3,0,1
46,15,0,0,1,0,1,0,0,1,0,1,0,0,1,0,1,0,2,5,1
46,16,0,1,0,1,0,0,1,0,0,1,0,0,1,0,1,0,3,0,1
46,17,0,0,1,0,0,1,1,0,0,0,0,1,0,1,1,0,3,0,1
46,18,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,1,2,5,1
49,1,1,0,0,0,0,1,0,1,0,0,1,0,1,0,1,0,3,4,0
49,2,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,1,2,5,0
49,3,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,1,1,4,0
49,4,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,1,3,5,0
49,5,0,1,0,0,0,1,0,1,0,1,0,0,0,1,1,0,2,4,0
49,6,0,0,1,1,0,0,0,0,1,0,0,1,1,0,1,0,2,5,0
49,7,0,1,0,0,0,1,0,0,1,0,1,0,1,0,1,0,1,4,0
49,8,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,1,5,0
49,9,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,1,1,4,0
49,10,0,0,1,0,1,0,1,0,0,0,1,0,0,1,1,0,1,5,0
49,11,1,0,0,0,1,0,0,1,0,0,0,1,1,0,1,0,1,4,0
49,12,1,0,0,1,0,0,0,0,1,0,1,0,0,1,1,0,2,5,0
49,13,0,1,0,0,1,0,0,0,1,0,0,1,1,0,1,0,3,4,0
49,14,0,0,1,1,0,0,0,1,0,0,1,0,1,0,0,1,3,5,0
49,15,0,0,1,0,1,0,0,1,0,1,0,0,1,0,1,0,2,4,0
49,16,0,1,0,1,0,0,1,0,0,1,0,0,1,0,1,0,3,5,0
49,17,0,0,1,0,0,1,1,0,0,0,0,1,0,1,1,0,3,4,0
49,18,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,1,2,5,0
56,1,1,0,0,0,0,1,0,1,0,0,1,0,1,0,1,0,3,7,1
56,2,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,1,2,8,1
56,3,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,1,1,6,1
56,4,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,1,3,6,1
56,5,0,1,0,0,0,1,0,1,0,1,0,0,0,1,1,0,2,9,1
56,6,0,0,1,1,0,0,0,0,1,0,0,1,1,0,1,0,2,7,1
56,7,0,1,0,0,0,1,0,0,1,0,1,0,1,0,1,0,1,10,1
56,8,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,1,6,1
56,9,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,1,1,8,1
56,10,0,0,1,0,1,0,1,0,0,0,1,0,0,1,1,0,1,7,1
56,11,1,0,0,0,1,0,0,1,0,0,0,1,1,0,1,0,1,9,1
56,12,1,0,0,1,0,0,0,0,1,0,1,0,0,1,1,0,2,7,1
56,13,0,1,0,0,1,0,0,0,1,0,0,1,1,0,1,0,3,6,1
56,14,0,0,1,1,0,0,0,1,0,0,1,0,1,0,0,1,3,5,1
56,15,0,0,1,0,1,0,0,1,0,1,0,0,1,0,1,0,2,7,1
56,16,0,1,0,1,0,0,1,0,0,1,0,0,1,0,1,0,3,6,1
56,17,0,0,1,0,0,1,1,0,0,0,0,1,0,1,1,0,3,8,1
56,18,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,1,2,9,1
