INDEX,CARD,CLA1,CLA2,SCA1,SCA2,SCA3,PUR1,PUR2,PUR3,CUL1,CUL2,CUL3,USA1,USA2,USA3,ADD1,ADD2,ADD3,PRICE,Y
57,15,0,1,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,100000,7
57,16,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,100000,2
57,17,0,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,200000,9
57,18,0,1,0,0,1,1,0,0,0,1,0,0,1,0,1,0,0,100000,6
58,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,150000,6
58,2,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,200000,10
58,3,1,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,1,100000,8
58,4,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,200000,10
58,5,0,1,0,1,0,1,0,0,0,0,1,1,0,0,0,1,0,150000,8
58,6,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,200000,9
58,7,1,0,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,150000,7
58,8,0,1,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1,150000,10
58,9,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,150000,10
58,10,0,1,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,200000,9
58,11,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,100000,10
58,12,1,0,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,200000,5
58,13,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,100000,10
58,14,1,0,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0,150000,8
58,15,0,1,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,100000,10
58,16,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,100000,6
58,17,0,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,200000,8
58,18,0,1,0,0,1,1,0,0,0,1,0,0,1,0,1,0,0,100000,8
60,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,150000,4
60,2,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,200000,5
60,3,1,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,1,100000,0
60,4,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,200000,4
60,5,0,1,0,1,0,1,0,0,0,0,1,1,0,0,0,1,0,150000,3
60,6,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,200000,2
60,7,1,0,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,150000,0
60,8,0,1,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1,150000,1
60,9,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,150000,6
60,10,0,1,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,200000,2
60,11,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,100000,1
60,12,1,0,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,200000,4
60,13,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,100000,0
60,14,1,0,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0,150000,2
60,15,0,1,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,100000,6
60,16,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,100000,5
60,17,0,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,200000,1
60,18,0,1,0,0,1,1,0,0,0,1,0,0,1,0,1,0,0,100000,7
63,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,150000,4
63,2,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,200000,5
63,3,1,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,1,100000,5
63,4,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,200000,10
63,5,0,1,0,1,0,1,0,0,0,0,1,1,0,0,0,1,0,150000,4
63,6,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,200000,6
63,7,1,0,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,150000,5
63,8,0,1,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1,150000,8
63,9,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,150000,10
63,10,0,1,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,200000,6
63,11,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,100000,8
63,12,1,0,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,200000,1
63,13,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,100000,8
63,14,1,0,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0,150000,4
63,15,0,1,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,100000,8
63,16,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,100000,1
